"Título","Percentual de pressoas trabalhando, por Unidade da Federação"
"Unidade","Número de pessoas presas trabalhando"
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016."
"Fonte link",""
"Notas",""
"",""
"Unidade da Federação","pessoas trabalhando"
"AC","8,61"
"AL","10,23"
"AM","12,56"
"AP","22,05"
"BA","11,23"
"CE","4,6"
"DF","15,88"
"ES","9,07"
"GO","11,19"
"MA","13,13"
"MG","29,5"
"MS","25,32"
"MT","19,24"
"PA","11,85"
"PB","6,3"
"PE","7,75"
"PI","13,99"
"PR","13,75"
"RJ","0"
"RN","1,01"
"RO","17,06"
"RR","8,42"
"RS","23,51"
"SC","16,66"
"SE","9,44"
"SP","13,4"
"TO","20,5"
