Título,Proporção de agentes em relação ao número de presos por Unidade da Federação
Unidade,Quantidade de agentes por pessoas presas
Fonte,"Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016."
Fonte link,
Notas,A ONU apresenta como referência a relação de 1 agente para cada 5 pessoas presas.
,
Unidade da Federação,proporcao
AC,"0,05"
AL,"0,03"
AM,"0,07"
AP,"0,07"
BA,"0,08"
CE,"0,06"
DF,"0,02"
ES,"0,04"
GO,"0,04"
MA,"0,11"
MG,"0,06"
MS,"0,03"
MT,"0,05"
PA,"0,05"
PB,"0,06"
PE,"0,03"
PI,"0,12"
PR,"0,03"
RJ,0
RN,"0,04"
RO,"0,06"
RR,"0,04"
RS,"0,05"
SC,"0,05"
SE,"0,04"
SP,"0,03"
TO,"0,2"
