"Título","Percentual de presos sem condenação por UF"
"Unidade","Percentual de pessoas presas sem condenação"
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016."
"Fonte link",""
"Notas",""
"",""
"Unidade da Federação","Percentual sem condenação"
"AC","37,08"
"AL","33,19"
"AM","60,56"
"AP","23,43"
"BA","49,05"
"CE","47,91"
"DF","23,23"
"ES","42,29"
"GO","38"
"MA","52,35"
"MG","54,99"
"MS","29,98"
"MT","52,46"
"PA","46,77"
"PB","42,15"
"PE","50,82"
"PI","54,99"
"PR","11,85"
"RJ","40,1"
"RN","32,57"
"RO","17,22"
"RR","43,9"
"RS","37,62"
"SC","35,52"
"SE","63,04"
"SP","30,73"
"TO","39,45"
